iter	RMSE
0	0.03504933469
1	0.03428419732
2	0.03354930752
3	0.03282145053
4	0.03213773909
5	0.03147286372
6	0.03082900387
7	0.03021807165
8	0.02962148489
9	0.02905164817
10	0.02849773721
11	0.02797030381
12	0.02746128451
13	0.0269607038
14	0.02648148403
15	0.02601739827
16	0.02557990059
17	0.02516363536
18	0.02474795974
19	0.0243432024
20	0.02396530496
21	0.02360136593
22	0.02324483518
23	0.02291701939
24	0.02259332607
25	0.02227400378
26	0.02198016336
27	0.02170764648
28	0.02142675409
29	0.02115993385
30	0.02090220495
31	0.02065612496
32	0.02042378828
33	0.02019406196
34	0.01998126482
35	0.01977212506
36	0.01956841807
37	0.01937583738
38	0.01918594439
39	0.01901498386
40	0.01884234769
41	0.01867609692
42	0.01852052238
43	0.01836683089
44	0.01822760009
45	0.01808977829
46	0.01795772209
47	0.01782475772
48	0.01770215942
49	0.01758691075
50	0.01747758638
51	0.01736472564
52	0.01726261833
53	0.01716302165
54	0.01706116984
55	0.01697621932
56	0.01689385782
57	0.01680383541
58	0.01671310273
59	0.01662424915
60	0.01655613155
61	0.01648160066
62	0.01641280574
63	0.016337153
64	0.01627037933
65	0.01620119311
66	0.01613458784
67	0.01607627681
68	0.01601821074
69	0.01596495833
70	0.01590949869
71	0.01585552889
72	0.01580521058
73	0.01576048962
74	0.015707883
75	0.01566228424
76	0.01562210808
77	0.01558030858
78	0.01553192508
79	0.01549303186
80	0.01545414498
81	0.01541774385
82	0.015371154
83	0.01533472903
84	0.01529697951
85	0.01526837459
86	0.01522626079
87	0.01519093651
88	0.01516340091
89	0.015128131
90	0.01508785593
91	0.01505691875
92	0.01502806039
93	0.01500078022
94	0.0149660708
95	0.01493586269
96	0.01491049158
97	0.01488147249
98	0.01485046591
99	0.01482454712
